book_id,genre,name,author,avg_rating,no_of_ratings,user_id,user_rating,description
518,Biographies & Memoirs,Tuesdays with Morrie ,Mitch Albom,4.08,6250,3466,4,"Maybe it was a grandparent, or a teacher or a colleague. Someone older, patient and wise, who understood you when you were young and searching, and gave you sound advice to help you make your way through it. For Mitch Albom, that person was Morrie Schwartz, his college professor from nearly twenty years ago.

Maybe, like Mitch, you lost track of this mentor as you made your way, and the insights faded. Wouldn't you like to see that person again, ask the bigger questions that still haunt you? 

Mitch Albom had that second chance. He rediscovered Morrie in the last months of the older man's life. Knowing he was dying of ALS - or motor neurone disease - Mitch visited Morrie in his study every Tuesday, just as they used to back in college. Their rekindled relationship turned into one final 'class': lessons in how to live."
518,Biographies & Memoirs,Tuesdays with Morrie ,Mitch Albom,4.08,6250,3115,1,"Maybe it was a grandparent, or a teacher or a colleague. Someone older, patient and wise, who understood you when you were young and searching, and gave you sound advice to help you make your way through it. For Mitch Albom, that person was Morrie Schwartz, his college professor from nearly twenty years ago.

Maybe, like Mitch, you lost track of this mentor as you made your way, and the insights faded. Wouldn't you like to see that person again, ask the bigger questions that still haunt you? 

Mitch Albom had that second chance. He rediscovered Morrie in the last months of the older man's life. Knowing he was dying of ALS - or motor neurone disease - Mitch visited Morrie in his study every Tuesday, just as they used to back in college. Their rekindled relationship turned into one final 'class': lessons in how to live."
3781,Biographies & Memoirs,Running with Scissors ,Augusten Burroughs,3.71,3182,3453,0,"The true story of an outlaw childhood where rules were unheard of, the Christmas tree stayed up all year round, Valium was consumed like candy, and if things got dull an electroshock-therapy machine could provide entertainment.

Running with Scissors is the true story of a boy whose mother (a poet with delusions of Anne Sexton) gave him away to be raised by her unorthodox psychiatrist who bore a striking resemblance to Santa Claus. So at the age of twelve, Burroughs found himself amidst Victorian squalor living with the doctors bizarre family, and befriending a pedophile who resided in the backyard shed. The story of an outlaw childhood where rules were unheard of, and the Christmas tree stayed up all year round, where Valium was consumed like candy, and if things got dull an electroshock- therapy machine could provide entertainment. The funny, harrowing and bestselling account of an ordinary boys survival under the most extraordinary circumstances."
3781,Biographies & Memoirs,Running with Scissors ,Augusten Burroughs,3.71,3182,1460,5,"The true story of an outlaw childhood where rules were unheard of, the Christmas tree stayed up all year round, Valium was consumed like candy, and if things got dull an electroshock-therapy machine could provide entertainment.

Running with Scissors is the true story of a boy whose mother (a poet with delusions of Anne Sexton) gave him away to be raised by her unorthodox psychiatrist who bore a striking resemblance to Santa Claus. So at the age of twelve, Burroughs found himself amidst Victorian squalor living with the doctors bizarre family, and befriending a pedophile who resided in the backyard shed. The story of an outlaw childhood where rules were unheard of, and the Christmas tree stayed up all year round, where Valium was consumed like candy, and if things got dull an electroshock- therapy machine could provide entertainment. The funny, harrowing and bestselling account of an ordinary boys survival under the most extraordinary circumstances."
3190,Biographies & Memoirs, Into the Wild , Jon Krakauer,3.96,7275,3466,0,"In April 1992 a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. His name was Christopher Johnson McCandless. He had given $25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, a party of moose hunters found his decomposed body. How McCandless came to die is the unforgettable story of Into the Wild.

Immediately after graduating from college in 1991, McCandless had roamed through the West and Southwest on a vision quest like those made by his heroes Jack London and John Muir. In the Mojave Desert he abandoned his car, stripped it of its license plates, and burned all of his cash. He would give himself a new name, Alexander Supertramp, and, unencumbered by money and belongings, he would be free to wallow in the raw, unfiltered experiences that nature presented. Craving a blank spot on the map, McCandless simply threw away the maps. Leaving behind his desperate parents and sister, he vanished into the wild. "
3190,Biographies & Memoirs, Into the Wild , Jon Krakauer,3.96,7275,2689,2,"In April 1992 a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. His name was Christopher Johnson McCandless. He had given $25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, a party of moose hunters found his decomposed body. How McCandless came to die is the unforgettable story of Into the Wild.

Immediately after graduating from college in 1991, McCandless had roamed through the West and Southwest on a vision quest like those made by his heroes Jack London and John Muir. In the Mojave Desert he abandoned his car, stripped it of its license plates, and burned all of his cash. He would give himself a new name, Alexander Supertramp, and, unencumbered by money and belongings, he would be free to wallow in the raw, unfiltered experiences that nature presented. Craving a blank spot on the map, McCandless simply threw away the maps. Leaving behind his desperate parents and sister, he vanished into the wild. "
3147,Biographies & Memoirs,I Know Why the Caged Bird Sings, Maya Angelou,4.2,3148,3466,1,"Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local ""powhitetrash."" At eight years old and back at her mothers side in St. Louis, Maya is attacked by a man many times her ageand has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (""I met and fell in love with William Shakespeare"") will allow her to be free instead of imprisoned.

Poetic and powerful, I Know Why the Caged Bird Sings will touch hearts and change minds for as long as people read."
3147,Biographies & Memoirs,I Know Why the Caged Bird Sings, Maya Angelou,4.2,3148,2689,2,"Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local ""powhitetrash."" At eight years old and back at her mothers side in St. Louis, Maya is attacked by a man many times her ageand has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (""I met and fell in love with William Shakespeare"") will allow her to be free instead of imprisoned.

Poetic and powerful, I Know Why the Caged Bird Sings will touch hearts and change minds for as long as people read."
225,Biographies & Memoirs,"A Child Called ""It"" (Dave Pelzer, #1) ",Dave Pelzer,4.09,3957,3453,5,"This book chronicles the unforgettable account of one of the most severe child abuse cases in California history. It is the story of Dave Pelzer, who was brutally beaten and starved by his emotionally unstable, alcoholic mother: a mother who played tortuous, unpredictable games--games that left him nearly dead. He had to learn how to play his mother's games in order to survive because she no longer considered him a son, but a slave; and no longer a boy, but an ""it."" Dave's bed was an old army cot in the basement, and his clothes were torn and raunchy. When his mother allowed him the luxury of food, it was nothing more than spoiled scraps that even the dogs refused to eat. The outside world knew nothing of his living nightmare. He had nothing or no one to turn to, but his dreams kept him alive--dreams of someone taking care of him, loving him and calling him their son."
225,Biographies & Memoirs,"A Child Called ""It"" (Dave Pelzer, #1) ",Dave Pelzer,4.09,3957,3229,2,"This book chronicles the unforgettable account of one of the most severe child abuse cases in California history. It is the story of Dave Pelzer, who was brutally beaten and starved by his emotionally unstable, alcoholic mother: a mother who played tortuous, unpredictable games--games that left him nearly dead. He had to learn how to play his mother's games in order to survive because she no longer considered him a son, but a slave; and no longer a boy, but an ""it."" Dave's bed was an old army cot in the basement, and his clothes were torn and raunchy. When his mother allowed him the luxury of food, it was nothing more than spoiled scraps that even the dogs refused to eat. The outside world knew nothing of his living nightmare. He had nothing or no one to turn to, but his dreams kept him alive--dreams of someone taking care of him, loving him and calling him their son."
3035,Biographies & Memoirs,"Chickens, Mules and Two Old Fools: Tuck into a Slice of Andalucían Life (Old Fools, #1) ", Victoria Twead,4,1966,3466,1,"Perhaps if Joe and Vicky had known what relocating to a tiny village, tucked in the Alpujarra mountains, would really be like, they might have hesitated... They have no idea of the culture shock in store. No idea they will become reluctant chicken farmers and own the most dangerous cockerel in Spain. No idea they will be befriended by an 85 year old spliff-smoking sex-kitten or rescued by a mule. Life is never dull as they embark on their Five Year Plan. At the end of five years they must decide. Will they stay, or return to the relative sanity of England? Vicky and Joe's story is packed with irreverent humour, animals, eccentric characters and sunshine. 'Chickens, Mules and Two Old Fools' was awarded the HarperCollins Authonomy 'Gold Star' in November 2008. 'laugh-out-loud funny...especially the Spanish women heckling over eggs from the The English...hilarious...engaging...the interspersion of recipes is charming' HarperCollins 'This is wonderful. I have tears in my eyes...the humour, the warmth, the joy...I love this book...the two of you sitting on the sofa in that dusty street listening to Spanish tunes on the crackly radio. What a sight you must have been...' Aleck Loker, author of 18 books including 'Ancient Explorers of America'. 'I love the relaxed writing style and easy humour of this. Great stuff!' Denny Gillan, author of 'Will You Love Me Tomorrow'. 'Victoria Twead is a natural storyteller with a knack for charm and wit.' Robin Bayley, author of 'The Mango Orchard'."
3035,Biographies & Memoirs,"Chickens, Mules and Two Old Fools: Tuck into a Slice of Andalucían Life (Old Fools, #1) ", Victoria Twead,4,1966,3229,0,"Perhaps if Joe and Vicky had known what relocating to a tiny village, tucked in the Alpujarra mountains, would really be like, they might have hesitated... They have no idea of the culture shock in store. No idea they will become reluctant chicken farmers and own the most dangerous cockerel in Spain. No idea they will be befriended by an 85 year old spliff-smoking sex-kitten or rescued by a mule. Life is never dull as they embark on their Five Year Plan. At the end of five years they must decide. Will they stay, or return to the relative sanity of England? Vicky and Joe's story is packed with irreverent humour, animals, eccentric characters and sunshine. 'Chickens, Mules and Two Old Fools' was awarded the HarperCollins Authonomy 'Gold Star' in November 2008. 'laugh-out-loud funny...especially the Spanish women heckling over eggs from the The English...hilarious...engaging...the interspersion of recipes is charming' HarperCollins 'This is wonderful. I have tears in my eyes...the humour, the warmth, the joy...I love this book...the two of you sitting on the sofa in that dusty street listening to Spanish tunes on the crackly radio. What a sight you must have been...' Aleck Loker, author of 18 books including 'Ancient Explorers of America'. 'I love the relaxed writing style and easy humour of this. Great stuff!' Denny Gillan, author of 'Will You Love Me Tomorrow'. 'Victoria Twead is a natural storyteller with a knack for charm and wit.' Robin Bayley, author of 'The Mango Orchard'."
99,Biographies & Memoirs,"Persepolis: The Story of a Childhood (Persepolis, #1) ",Marjane Satrapi,4.24,1274,3466,1,"Wise, funny, and heartbreaking, Persepolis is Marjane Satrapis memoir of growing up in Iran during the Islamic Revolution. In powerful black-and-white comic strip images, Satrapi tells the story of her life in Tehran from ages six to fourteen, years that saw the overthrow of the Shahs regime, the triumph of the Islamic Revolution, and the devastating effects of war with Iraq. The intelligent and outspoken only child of committed Marxists and the great-granddaughter of one of Irans last emperors, Marjane bears witness to a childhood uniquely entwined with the history of her country.

Persepolis paints an unforgettable portrait of daily life in Iran and of the bewildering contradictions between home life and public life. Marjanes childs-eye view of dethroned emperors, state-sanctioned whippings, and heroes of the revolution allows us to learn as she does the history of this fascinating country and of her own extraordinary family. Intensely personal, profoundly political, and wholly original, Persepolis is at once a story of growing up and a reminder of the human cost of war and political repression. It shows how we carry on, with laughter and tears, in the face of absurdity. And, finally, it introduces us to an irresistible little girl with whom we cannot help but fall in love."
99,Biographies & Memoirs,"Persepolis: The Story of a Childhood (Persepolis, #1) ",Marjane Satrapi,4.24,1274,3229,1,"Wise, funny, and heartbreaking, Persepolis is Marjane Satrapis memoir of growing up in Iran during the Islamic Revolution. In powerful black-and-white comic strip images, Satrapi tells the story of her life in Tehran from ages six to fourteen, years that saw the overthrow of the Shahs regime, the triumph of the Islamic Revolution, and the devastating effects of war with Iraq. The intelligent and outspoken only child of committed Marxists and the great-granddaughter of one of Irans last emperors, Marjane bears witness to a childhood uniquely entwined with the history of her country.

Persepolis paints an unforgettable portrait of daily life in Iran and of the bewildering contradictions between home life and public life. Marjanes childs-eye view of dethroned emperors, state-sanctioned whippings, and heroes of the revolution allows us to learn as she does the history of this fascinating country and of her own extraordinary family. Intensely personal, profoundly political, and wholly original, Persepolis is at once a story of growing up and a reminder of the human cost of war and political repression. It shows how we carry on, with laughter and tears, in the face of absurdity. And, finally, it introduces us to an irresistible little girl with whom we cannot help but fall in love."
3594,Biographies & Memoirs,The Autobiography of Malcolm X , Malcolm X  ,4.3,1473,3466,1,"Through a life of passion and struggle, Malcolm X became one of the most influential figures of the 20th Century. In this riveting account, he tells of his journey from a prison cell to Mecca, describing his transition from hoodlum to Muslim minister. Here, the man who called himself ""the angriest Black man in America"" relates how his conversion to true Islam helped him confront his rage and recognize the brotherhood of all mankind. 
An established classic of modern America, ""The Autobiography of Malcolm X"" was hailed by the New York Times as ""Extraordinary. A brilliant, painful, important book."" Still extraordinary, still important, this electrifying story has transformed Malcom X's life into his legacy. The strength of his words, the power of his ideas continue to resonate more than a generation after they first appeared. "
3594,Biographies & Memoirs,The Autobiography of Malcolm X , Malcolm X  ,4.3,1473,3229,2,"Through a life of passion and struggle, Malcolm X became one of the most influential figures of the 20th Century. In this riveting account, he tells of his journey from a prison cell to Mecca, describing his transition from hoodlum to Muslim minister. Here, the man who called himself ""the angriest Black man in America"" relates how his conversion to true Islam helped him confront his rage and recognize the brotherhood of all mankind. 
An established classic of modern America, ""The Autobiography of Malcolm X"" was hailed by the New York Times as ""Extraordinary. A brilliant, painful, important book."" Still extraordinary, still important, this electrifying story has transformed Malcom X's life into his legacy. The strength of his words, the power of his ideas continue to resonate more than a generation after they first appeared. "
3594,Biographies & Memoirs,The Autobiography of Malcolm X , Malcolm X  ,4.3,1473,3476,1,"Through a life of passion and struggle, Malcolm X became one of the most influential figures of the 20th Century. In this riveting account, he tells of his journey from a prison cell to Mecca, describing his transition from hoodlum to Muslim minister. Here, the man who called himself ""the angriest Black man in America"" relates how his conversion to true Islam helped him confront his rage and recognize the brotherhood of all mankind. 
An established classic of modern America, ""The Autobiography of Malcolm X"" was hailed by the New York Times as ""Extraordinary. A brilliant, painful, important book."" Still extraordinary, still important, this electrifying story has transformed Malcom X's life into his legacy. The strength of his words, the power of his ideas continue to resonate more than a generation after they first appeared. "
4971,Biographies & Memoirs,The Hiding Place: The Triumphant True Story of Corrie Ten Boom, Corrie ten Boom,4.41,2024,3466,0,"At one time Corrie ten Boom would have laughed at the idea that there would ever be a story to tell. For the first fifty years of her life nothing at all out of the ordinary had ever happened to her. She was an old-maid watchmaker living contentedly with her spinster sister and their elderly father in the tiny Dutch house over their shop. Their uneventful days, as regulated as their own watches, revolved around their abiding love for one another. However, with the Nazi invasion and occupation of Holland, a story did ensue. 

Corrie ten Boom and her family became leaders in the Dutch Underground, hiding Jewish people in their home in a specially built room and aiding their escape from the Nazis. For their help, all but Corrie found death in a concentration camp. The Hiding Place is their story."
4971,Biographies & Memoirs,The Hiding Place: The Triumphant True Story of Corrie Ten Boom, Corrie ten Boom,4.41,2024,3426,1,"At one time Corrie ten Boom would have laughed at the idea that there would ever be a story to tell. For the first fifty years of her life nothing at all out of the ordinary had ever happened to her. She was an old-maid watchmaker living contentedly with her spinster sister and their elderly father in the tiny Dutch house over their shop. Their uneventful days, as regulated as their own watches, revolved around their abiding love for one another. However, with the Nazi invasion and occupation of Holland, a story did ensue. 

Corrie ten Boom and her family became leaders in the Dutch Underground, hiding Jewish people in their home in a specially built room and aiding their escape from the Nazis. For their help, all but Corrie found death in a concentration camp. The Hiding Place is their story."
4971,Biographies & Memoirs,The Hiding Place: The Triumphant True Story of Corrie Ten Boom, Corrie ten Boom,4.41,2024,3476,3,"At one time Corrie ten Boom would have laughed at the idea that there would ever be a story to tell. For the first fifty years of her life nothing at all out of the ordinary had ever happened to her. She was an old-maid watchmaker living contentedly with her spinster sister and their elderly father in the tiny Dutch house over their shop. Their uneventful days, as regulated as their own watches, revolved around their abiding love for one another. However, with the Nazi invasion and occupation of Holland, a story did ensue. 

Corrie ten Boom and her family became leaders in the Dutch Underground, hiding Jewish people in their home in a specially built room and aiding their escape from the Nazis. For their help, all but Corrie found death in a concentration camp. The Hiding Place is their story."
1381,Biographies & Memoirs,All Creatures Great and Small , James Herriot,4.31,1015,3466,0,"Delve into the magical, unforgettable world of James Herriot, the world's most beloved veterinarian, and his menagerie of heartwarming, funny, and tragic animal patients.

For over forty years, generations of readers have thrilled to Herriot's marvelous tales, deep love of life, and extraordinary storytelling abilities. For decades, Herriot roamed the remote, beautiful Yorkshire Dales, treating every patient that came his way from smallest to largest, and observing animals and humans alike with his keen, loving eye.

In All Creatures Great and Small, we meet the young Herriot as he takes up his calling and discovers that the realities of veterinary practice in rural Yorkshire are very different from the sterile setting of veterinary school. Some visits are heart-wrenchingly difficult, such as one to an old man in the village whose very ill dog is his only friend and companion, some are lighthearted and fun, such as Herriot's periodic visits to the overfed and pampered Pekinese Tricki Woo who throws parties and has his own stationery, and yet others are inspirational and enlightening, such as Herriot's recollections of poor farmers who will scrape their meager earnings together to be able to get proper care for their working animals. From seeing to his patients in the depths of winter on the remotest homesteads to dealing with uncooperative owners and critically ill animals, Herriot discovers the wondrous variety and never-ending challenges of veterinary practice as his humor, compassion, and love of the animal world shine forth."
1381,Biographies & Memoirs,All Creatures Great and Small , James Herriot,4.31,1015,3426,1,"Delve into the magical, unforgettable world of James Herriot, the world's most beloved veterinarian, and his menagerie of heartwarming, funny, and tragic animal patients.

For over forty years, generations of readers have thrilled to Herriot's marvelous tales, deep love of life, and extraordinary storytelling abilities. For decades, Herriot roamed the remote, beautiful Yorkshire Dales, treating every patient that came his way from smallest to largest, and observing animals and humans alike with his keen, loving eye.

In All Creatures Great and Small, we meet the young Herriot as he takes up his calling and discovers that the realities of veterinary practice in rural Yorkshire are very different from the sterile setting of veterinary school. Some visits are heart-wrenchingly difficult, such as one to an old man in the village whose very ill dog is his only friend and companion, some are lighthearted and fun, such as Herriot's periodic visits to the overfed and pampered Pekinese Tricki Woo who throws parties and has his own stationery, and yet others are inspirational and enlightening, such as Herriot's recollections of poor farmers who will scrape their meager earnings together to be able to get proper care for their working animals. From seeing to his patients in the depths of winter on the remotest homesteads to dealing with uncooperative owners and critically ill animals, Herriot discovers the wondrous variety and never-ending challenges of veterinary practice as his humor, compassion, and love of the animal world shine forth."
